Title,Authors,Description,Category,Publisher,Publish Date,Price
Hill Rat: Blowing the Lid Off Congress,"By Jackley, John L.","As a top aide to powerful Texas Congressman Ronald Coleman, John Jackley watched the nation's highest elected officials lie, manipulate media images, and spend millions of taxpayer dollars to stay in power. The mind-boggling scope of the abuse of perks and privilege by both legislators and their staffers finally shocked him into reality.What began as a secret journal for his children to clear his conscience has become Hill Rat, a journey behind Congress' closed doors and into the corrupt back alleys of power. With both humor and outrage, Jackley reveals how the promise of Congress has been hijacked and corrupted by the current crop of careerist incumbents. ""Today,"" he writes, ""a successful congressman has the fundraising ability of a hooker trying to make cab fare home and the morals of a big-time football coach!""His account is laced with the names of Capitol Hill's most prominent legislators--Majority Leader Richard Gephardt, Speaker of the House Thomas Foley, Ron Dellums, Bill Alexander, Minority Whip Newt Gingrich, Thomas Luken, and scores of others. Jackley also reveals, with names, dates, and examples, the outrageous power of Congressional staffers--""Hill Rats""--who ""run the engines of democracy on a daily basis and pride themselves on their ability to do anything in the name of their cause.""To show the flagrant abuse of taxpayers' money for re-election purposes, Jackley points out that in just forty-eight hours in early 1992, the House mailed more than 58 million newsletters and postcards. In 1990, the first post-Jim Wright, post-congressional scandal election, 96% of the incumbents who ran were reelected. Even in 1988, only six Members running for re-election were defeated, a turnover rate less than that of the Soviet Politburo.From previously untold Congressional involvement in Oliver North's contra re-supply network to Democratic complicity in the S&L crisis to the taxpayer-funded incumbent protection plan, Hill Rat reveals secrets backed by hard evidence that will shake the House and shock the nation."," Political Science , General","Regnery Publishing, Inc.","Wednesday, April 1, 1992",Price Starting at $4.99
The Great ABC Treasure Hunt: A Hidden Picture Alphabet Book (Time-Life Early Learning Program),"By Time-Life for Children (Firm) (COR), Singer, Muff, and Hoggan, Pat (ILT)",," Juvenile Nonfiction , General",Time Life Education,"Friday, February 1, 1991",Price Starting at $5.29
Personality of the Cat,"By Aymar, Brandt (EDT)","A delightful collection of reflections on the feline contains selections from famous artists, writers, poets, and essayists, such as Pablo Picasso, Rudyard Kipling, T. S. Eliot, and others."," Pets , Cats , General",Bonanza Books,"Sunday, January 1, 1978",Price Starting at $5.41
Murdering Mr. Monti: A Merry Little Tale of Sex and Violence,"By Viorst, Judith",," Fiction , General",Simon & Schuster,"Saturday, January 1, 1994",Price Starting at $5.29
In Re Alger Hiss:  Petition for a Writ of Error Coram Nobis,By Edith Tiger,,,Hill & Wang,"Tuesday, May 1, 1979",Price Starting at $10.99
Black Holes and Baby Universes and Other Essays,"By Hawking, Stephen W.",," Biography & Autobiography , General",Bantam,"Friday, October 1, 1993",Price Starting at $5.29
Relativity: The Special and the General Theory,By Albert Einstein,,,Three Rivers Press,"Tuesday, August 1, 1961",Price Starting at $8.79
Betrayal : How the Clinton Administration Undermined American Security,"By Gertz, Bill","Gertz, writer for the Moonie-influenced  Washington Times  newspaper and a reporter  with the highest right-wing credentials (including praise from Rush Limbaugh and G. Gordon Liddy on the jacket) uses declassified documents and unnamed Pentagon sources to recount how President Clinton has weakened the military and made innumerable secret deals with ""enemy"" countries. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Political Science , General",Regnery Pub,"Saturday, May 1, 1999",Price Starting at $4.99
Shadow Song,"By Kay, Terry","It was a wonderful summer, a great memory, the kind of love everybody ought to have. It changed my life - or almost did - and I think about it more than I should, but that was a long time ago.Amid the breathtaking beauty of the Catskill Mountains, Avrum Feldman listened to the haunting voice of Amelita Galli-Curci ringing over the Shandaken Valley - a voice no one else could hear. When he died at age one hundred six, his obsession for the famous opera diva had lasted three-quarters of a century. Most people considered Avrum crazy, someone preoccupied with romantic nonsense. But Madison Lee ""Bobo"" Murphy was not among them, for he, too, had a love that changed his life, or almost did: Amy Lourie.In the summer of 1955, Bobo was a waiter at the Catskill's Pine Hill Inn; a rural Southerner who had never heard the word meshugge until Avrum - a retired furrier, teacher, and translator from New York City - became his unlikely friend. For Bobo nothing about that summer ever lost its glow: his first taste of kartoffel suppe; the exotic mingling of Yiddish and German in the dining room; the girl he met and loved....In everyone's life, Avrum had instructed, there is one grand, undeniable moment of change that never stops mattering. It came for Bobo in his first meeting with Amy, the most beautiful girl he had ever seen. He was too naive to comprehend the gulf between their worlds, and she was too smitten by him to care. But for a wealthy Jewish girl and a Georgia farm boy, the summer had to end, leaving Bobo to learn the painful lesson of loving someone and believing you cannot be with them.Now, thirty-eight years later, Avrum is gone, leaving a will that beckons Bobo north to the Catskills once more. In the places he'd walked so often on the paths of memory, he embraces the ghosts of old friendships and the haunting hints of Amy's presence, until she unexpectedly appears. Nothing has dimmed the passion of their youth, yet two lifetimes and a thousand Catskills sunsets stand between who they were and who they have become. The strikes against them are different now, but mysteriously, miraculously, as Bobo carries out Avrum's last wishes for a strange Kaddish, he hears the dreams of his youth, of the young man who went forth and became part of a love larger than himself...."," Fiction , General",Atria Books,"Saturday, October 1, 1994",Price Starting at $4.99
Undercurrents: A Therapist's Reckoning With Her Own Depression,"By Manning, Martha",," Psychology , General",HarperCollins,"Sunday, January 1, 1995",Price Starting at $5.29
The Road Less Traveled and Beyond: Spiritual Growth in an Age of Anxiety,"By Peck, M. Scott",," Psychology , Psychopathology , Anxieties & Phobias",Touchstone,"Thursday, January 1, 1998",Price Starting at $4.99
The Kiss: A Memoir,"By Harrison, Kathryn",," Family & Relationships , Love & Romance",Random House,"Saturday, March 1, 1997",Price Starting at $5.29
Codebreakers' Victory: How the Allied Cryptogaphers Won World War II,"By Haufler, Hervie","For the first time ever, veteran World War II cryptographer Hervie Haufler details how American and British codebreakers were the decisive factor in the Allied victory. From the Purple Machine to the Navajo Talkers to the breaking of Japan's JN-25 Naval Code to the shadowy world of decoding units like Hut-8 in Bletchley Park, he shows how crucial information-often obtained by surreptitious and violent means-was the decisive edge in the Battle of Britain, at Midway and against the U-Boats in the North Atlantic, and how Allied intelligence saved the Soviet Union from almost certain defeat.  In an accessible account based on years of research, interviews and exclusive access to previously top-secret archives, Haufler demonstrates how cryptography enabled Nimitz and MacArthur to persevere in the Pacific and helped Eisenhower and Patton mount the assaults on Normandy. In compelling detail, Haufler shows us how it was done-as only one who was on the frontlines of the ""secret war"" could tell it."," History , Military , World War II",NAL Trade,"Saturday, November 1, 2003",Price Starting at $5.29
"A Manual for Writers of Term Papers, Theses, and Dissertations, Fifth Edition","By Turabian, Kate L.",,,University of Chicago Press,"Thursday, January 1, 1987",Price Starting at $4.99
"The Price of Loyalty: George W. Bush, the White House, and the Education of Paul O'Neill","By Suskind, Ron",," Political Science , Government , Executive Branch",Simon & Schuster,"Thursday, January 1, 2004",Price Starting at $8.79
Best New American Voices 2003,"By Kulka, John (EDT), Danford, Natalie (EDT), and Oates, Joyce Carol (EDT)","Since its launch in 2000, the Best New American Voices series has been acclaimed for the range and originality of its selections, which represent the writers who promise to become the literary stars of tomorrow. The 2003 collection continues the tradition, featuring innovative, powerful stories selected by one of our finest writers of contemporary fiction, Joyce Carol Oates. With pieces culled from more than one hundred prestigious writing programs around the country and Canada, including the Iowa Writers' Workshop and the Sewanee Conference, this volume showcases a remarkable array of talent--and offers the excitement of discovering a new generation of writers.A Harvest Original"," Fiction , Anthologies (multiple authors)",Harvest Books,"Tuesday, October 1, 2002",Price Starting at $5.29
Escape from the CIA: How the CIA Won and Lost the Most Important KGB Spy Ever to Defect to the U.S.,"By Kessler, Ronald",," Political Science , General",Pocket Books,"Monday, April 1, 1991",Price Starting at $5.29
Meditations: On the Monk Who Dwells in Daily Life,"By Moore, Thomas","Sometimes in their chanting monks will land upon a note and sing it in florid fashion, one syllable of text for fifty notes of chant. Melisma, they call it.Living a melismatic life in imitation of plainchant, we may stop on an experience, a place, a person, or a memory and rhapsodize in imagination. Some like to meditate or contemplate melismatically, while others prefer to draw, build, paint, or dance whatever their eye has fallen upon.Living one point after another, is one form of experience, and it can be emphatically productive. But stopping for melisma gives the soul its reason for being."," Religion , General",HarperCollins,"Tuesday, November 1, 1994",Price Starting at $4.99
Links Lore,"By Stevens, Peter F.",," Sports & Recreation , History",POTOMAC BOOKS,"Thursday, June 1, 2000",Price Starting at $5.29
Jackie by Josie: A Novel,"By Preston, Caroline","Follows a thirtyish graduate who unexpectedly finds herself helping a celebrity biographer research the life of Jacqueline Kennedy Onassis, and ends up discovering surprising parallels between her own life and that of the queen of Camelot"," Fiction , Literary",Scribner,"Sunday, March 1, 1998",Price Starting at $4.99
Joshua and the City,"By Girzone, Joseph F.","A contemporary city faces turmoil and devastation until it is visited by the serene figure of Joshua, who presents an alternative, love-based approach to life while addressing such issues as poverty, racism, and AIDS. 150,000 first printing. $150,000 ad/promo."," Religion , Inspirational",Doubleday,"Wednesday, March 1, 1995",Price Starting at $5.29
The Book of Courtly Love: The Passionate Code of the Troubadours,"By Hopkins, Andrea","A treasury of French medieval lore combines the tales of Lancelot and Guinevere, Tristan and Isolde, Troilus and Criseyde, and several songs and poems with sixty accompanying illustrations from classic manuscripts and romantic art.",,HarperCollins,"Tuesday, November 1, 1994",Price Starting at $5.29
How Good Do We Have to Be? A New Understanding of Guilt and Forgiveness,"By Kushner, Harold S.","From the author of When Bad Things Happen to Good People comes an inspiring new bestseller that puts human feelings of guilt and inadequacy in perspective - and teaches us how we can learn to accept ourselves and others even when we and they are less than perfect. How Good Do We Have to Be? is for everyone who experiences that sense of guilt and disappointment. Harold Kushner, writing with his customary generosity and wisdom, shows us how human life is too complex for anyone to live it without making mistakes, and why we need not fear the loss of God's love when we are less than perfect. Harold Kushner begins by offering a radically new interpretation of the story of Adam and Eve, which he sees as a tale of Paradise Outgrown rather than Paradise Lost: eating from the Tree of Knowledge was not an act of disobedience, but a brave step forward toward becoming human, complete with the richness of work, sexuality and child-rearing, and a sense of our mortality. Drawing on modern literature, psychology, theology,,and his own thirty years of experience as a congregational rabbi, Harold Kushner reveals how acceptance and forgiveness can change our relationships with the most important people in our lives and help us meet the bold and rewarding challenge of being human."," Religion , Psychology of Religion",Back Bay Books,"Monday, September 1, 1997",Price Starting at $4.99
"Eat More, Weigh Less: Dr. Dean Ornish's Life Choice Program for Losing Weight Safely While Eating Abundantly","By Ornish, Dean and Brown, Shirley Elizabeth (EDT)",," Cooking , Health & Healing , Low Fat",William Morrow Paperbacks,"Friday, December 1, 2000",Price Starting at $5.29
Majorca: Culture and Life,By Konemann Inc. (EDT),," Photography , Subjects & Themes , Regional",Konemann,"Thursday, June 1, 2000",Price Starting at $8.83
Written by Herself: Autobiographies of American Women: An Anthology,"By Conway, Jill Ker (EDT)","The bestselling author of The Road from Coorain presents an extraordinarily powerful anthology of the autobiographical writings of 25 women, literary predecessors and contemporaries that include Jane Addams, Zora Neale Hurst, Harriet Jacobs, Ellen Glasgow, Maya Angelou, Sara Josephine Baker, Margaret Mead, Gloria Steinem, and Maxine Hong Kingston."," Biography & Autobiography , Women",Vintage,"Sunday, November 1, 1992",Price Starting at $4.99
The Universe of Galaxies,"By Hodge, Paul",,,W H Freeman & Co,"Monday, October 1, 1984",Price Starting at $5.29
Ice Bound: A Doctor's Incredible Battle For Survival at the South Pole,"By Nielsen, Jerri and Vollers, Maryanne",," Biography & Autobiography , Women",Miramax,"Tuesday, January 1, 2002",Price Starting at $4.89
Healing Benefits of Garlic,"By Heinerman, John",," Cooking , Specific Ingredients , Herbs, Spices, Condiments",Gramercy,"Saturday, July 1, 1995",Price Starting at $4.99
Me and Ted Against the World : The Unauthorized Story of the Founding of CNN,"By Schonfeld, Reese",," Business & Economics , Management",Harperbusiness,"Thursday, February 1, 2001",Price Starting at $4.99
Magnet Therapy: The Pain Cure Alternative,"By Lawrence, Ronald Melvin, Plowden, Judith, and Rosch, Paul",," Medical , Holistic Medicine",Prima Pub,"Sunday, March 1, 1998",Price Starting at $5.29
Controlling Cholesterol: Dr. Kenneth H. Cooper's Preventative Medicine Program,"By Cooper, Kenneth H.",," Health & Fitness , Diet & Nutrition , Food Content Guides",Bantam,"Wednesday, February 1, 1989",Price Starting at $5.29
